"adult","backdrop_path","genre_ids","id","original_language","original_title","overview","popularity","poster_path","release_date","title","video","vote_average","vote_count"
"False","/1PGVypqlfhYQtIBKZoncHIrS7U5.jpg","[28, 12]","40044","en","Tarzan Finds a Son!","A young couple die in a plane crash in the jungle. Their son is found by Tarzan and Jane who name him Boy and raise him as their own. Five years later a search party comes to find the young heir to millions of dollars. Jane agrees, against Tarzan's will, to lead them to civilization.","8.397","/a3131MsWF9Z9vAez0ojB5JfRVtk.jpg","1939-06-16","Tarzan Finds a Son!","False","6.2","68"
"False","/2kj6FOo0B9NtCen1Ta7LoaPW9wG.jpg","[18, 878]","585378","en","After Yang","When his young daughter's beloved companion — an android named Yang — malfunctions, Jake searches for a way to repair him. In the process, Jake discovers the life that has been passing in front of him, reconnecting with his wife and daughter across a distance he didn't know was there.","12.02","/qjEuDeKOhA7JqaaqhLSfoS9titb.jpg","2022-03-04","After Yang","False","6.6","64"
"False","/yJyZRrXaYUjhOrJGga8awbw4Rud.jpg","[12, 14, 10749, 10751]","420817","en","Aladdin","A kindhearted street urchin named Aladdin embarks on a magical adventure after finding a lamp that releases a wisecracking genie while a power-hungry Grand Vizier vies for the same lamp that has the power to make their deepest wishes come true.","78.156","/ykUEbfpkf8d0w49pHh0AD2KrT52.jpg","2019-05-22","Aladdin","False","7.1","8565"
"False","/oZbLtVbpNFmDa58woYqHBpHDxwt.jpg","[18]","73873","en","Albert Nobbs","Albert Nobbs struggles to survive in late 19th century Ireland, where women aren't encouraged to be independent. Posing as a man, so she can work as a butler in Dublin's most posh hotel, Albert meets a handsome painter and looks to escape the lie she has been living.","7.678","/68fdlvmqTWGC2y5nGXQE5RfgNB5.jpg","2011-12-21","Albert Nobbs","False","6.3","376"
"False","/iPWbKty4Ktj9LU8tb5zghRBBFfr.jpg","[18, 36, 9648, 53]","891","en","All the President's Men","During the 1972 elections, two reporters' investigation sheds light on the controversial Watergate scandal that compels President Richard Nixon to resign from his post.","12.935","/ruURnC7qLRtSnTV1vygcoEPzeYK.jpg","1976-01-18","All the President's Men","False","7.7","1393"
"False","/4PD0Kc4BGYrYrziCwUPHnESSabZ.jpg","[18, 10749]","24684","en","An Education","Despite her sheltered upbringing, Jenny is a teen with a bright future; she's smart, pretty, and has aspirations of attending Oxford University. When David, a charming but much older suitor, motors into her life in a shiny automobile, Jenny gets a taste of adult life that she won't soon forget.","9.002","/gLIvvUdlocGjm8XVLxhWHAKWrRq.jpg","2009-10-29","An Education","False","6.9","1078"
"False","/yUpjIIpoKDEacUIPaO9VW5rz0S0.jpg","[18, 36, 53]","61891","en","Anonymous","Set against the backdrop of the succession of Queen Elizabeth I, and the Essex Rebellion against her, the story advances the theory that it was in fact Edward De Vere, Earl of Oxford who penned Shakespeare's plays.","9.441","/vArgTEbIPVclxhfdLubLwOYfVKG.jpg","2011-10-21","Anonymous","False","6.4","612"
"False","/wAbZ47Tm1EdrugJCTBdYCjYCqIP.jpg","[35]","24243","pt","As Melhores Coisas do Mundo","Everyday family life as perfectly normal madness. “As Melhores Coisas do Mundo“ follows a few days in the life of the 15-year-old Mano, who is fighting on two fronts: his parents have just got divorced and he is going through puberty. Mano tries to make his way through life, with its first sexual experiences, his depressed brother and his self-centered parents. It’s a humorous homage to the pitfalls of daily life and the diversity of life.","2.143","/jdwlYFpObdJyCmib6oFEBblDpsu.jpg","2010-05-22","The Best Things in the World","False","6.4","49"
"False","/7RyHsO4yDXtBv1zUU3mTpHeQ0d5.jpg","[12, 878, 28]","299534","en","Avengers: Endgame","After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.","260.137","/or06FN3Dka5tukK1e9sl16pB3iy.jpg","2019-04-24","Avengers: Endgame","False","8.3","21020"
"False","","[18]","46647","pt","Baixio das Bestas","A man falls in love with a teenage girl, who is exploited by her own grandfather, who sometimes takes her to a gas station to show her naked to whomever pays him some money.","1.697","/sOkGy5yg5jSJJvmSuKDddUqzmkd.jpg","2006-12-12","Bog of Beasts","False","5.1","24"
"False","/8eR74PHvVlG1SKYUvmT1nAEi7VU.jpg","[18, 53]","16876","en","Bang Bang You're Dead","A troubled and bullied high school student fights against judgement from his community after threatening to bomb the football team.","7.84","/647kfvUPkDBXtIHQEhInJR2LUyX.jpg","2003-06-11","Bang Bang You're Dead","False","7.1","118"
"False","/vy5bKKjcdws80nF9xSCeuXqOyuL.jpg","[18]","451915","en","Beautiful Boy","After he and his first wife separate, journalist David Sheff struggles to help their teenage son, who goes from experimenting with drugs to becoming devastatingly addicted to methamphetamine.","18.363","/zuw4QtOpOO0Ib1f866SG9WmduMN.jpg","2018-10-12","Beautiful Boy","False","7.5","1857"
"False","/lNCfjI6DOD4huCyBvbzBxflX2M5.jpg","[10749, 10751, 16, 14]","10020","en","Beauty and the Beast","Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.","87.737","/7oCAPOphDKpIaxTrnukmDrZ8XKD.jpg","1991-10-22","Beauty and the Beast","False","7.7","8411"
"False","/4KLlHifB1kgMtWl3YnY8JinOj65.jpg","[18]","777270","en","Belfast","Buddy is a young boy on the cusp of adolescence, whose life is filled with familial love, childhood hijinks, and a blossoming romance. Yet, with his beloved hometown caught up in increasing turmoil, his family faces a momentous choice: hope the conflict will pass or leave everything they know behind for a new life.","18.949","/3mInLZyPOVLsZRsBwNHi3UJXXnm.jpg","2021-11-12","Belfast","False","7.2","713"
"False","/4jz7JAgU3DQoQhZTDal6o2odg3Y.jpg","[80, 18]","898","en","Birdman of Alcatraz","After killing a prison guard, convict Robert Stroud faces life imprisonment in solitary confinement. Driven nearly mad by loneliness and despair, Stroud's life gains new meaning when he happens upon a helpless baby sparrow in the exercise yard and nurses it back to health. Despite having only a third grade education, Stroud goes on to become a renowned ornithologist and achieves a greater sense of freedom and purpose behind bars than most people find in the outside world.","11.002","/1Gd4ABvQdHbC1xWavR2U5YotjRV.jpg","1962-07-04","Birdman of Alcatraz","False","7.5","217"
"False","/sN0czEtCT1jEFQVajWBsKwdFBKm.jpg","[18, 9648, 878, 53]","8338","en","Blindness","When a sudden plague of blindness devastates a city, a small group of the afflicted band together to triumphantly overcome the horrific conditions of their imposed quarantine.","12.453","/deBsx5IxyqCC217j3VY24TkkE0Z.jpg","2008-05-14","Blindness","False","6.5","1043"
"False","/4EmqMRZdkH5axkhXsIvE6n9z2Cc.jpg","[18]","4995","en","Boogie Nights","Set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""Dirk Diggler"". Now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, Adams' dreams of turning sex into stardom are about to collide with cold, hard reality.","15.232","/wnE24UPCPQsQnbBOu4zVE2qaDNm.jpg","1997-10-07","Boogie Nights","False","7.6","2489"
"False","/qx9ts2hBYJrkIQxhryitxnLlm2u.jpg","[16, 12, 35, 10751, 28, 14]","62177","en","Brave","Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.","78.036","/L6qqU6Q3k4MmPojncNbT43FSTL.jpg","2012-06-21","Brave","False","7","11523"
